LM Description,Part#,LM Revision,Qty Per Car,U/M,L/T Wks,Make,System Group,ABC by System,ABC % by System,ABC  by Part,ABC Running $'s by Part,%total $ by part,LM/Prep,Supplier #1,Description Supplier #1,P/N Supp#1,U/M,MOQ #1,Supplier #2,Description Supplier #2,P/N Supp#2,MOQ #2,L/T#2,Supplier #3,Description Supplier #3,P/N Supp#3,MOQ #3,Specifications,Weight (lbs.),X weight
Front wheel well LH Lower Closeout,RFN5052-044,A,1.00,Ea,,,Body,,,,,,,Local Motors,,,EA,,,,,,,,,,,,,
Front wheel well LH Upper Closeout,RFN5052-045,A,1.00,EA,,,Body,A,20%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,"0.040"" Aluminum 5052 Sheet(0.5529lb/sqft)",N/A,
Front wheel well RH Lower Closeout,RFN5052-046,A,1.00,EA,,,Body,A,20%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,,,
Front wheel well RH Upper Closeout,RFN5052-047,A,1.00,EA,,,Body,A,20%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,,,
Rear wheel well LH Front Closeout  ,RFN5052-080,A,1.00,EA,,,Body,A,20%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,,,
Rear wheel well RH Front Closeout  ,RFN5052-081,A,1.00,EA,,,Body,A,20%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,,,
Rear wheel well LH Rear Closeout  ,RFN5052-082,A,1.00,EA,,,Body,A,20%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,,,
Rear wheel well RH Rear Closeout  ,RFN5052-083,A,1.00,EA,,,Body,A,20%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,,,
LH Side mirror backing plate,RFN5052-089,A,1.00,Ea,,,Body,A,20%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,"1/8"" Aluminum 5052 Sheet(1.746lb/sqft)",N/A,
RH Side mirror backing plate,RFN5052-090,A,1.00,Ea,,,Body,A,20%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,"1/8"" Aluminum 5052 Sheet(1.746lb/sqft)",N/A,
Window Regulator mount ,RFN5052-106,A,2.00,Ea,,,Body,A,20%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,"1/8"" Aluminum 5052 Sheet(1.746lb/sqft)",N/A,
Trunk Lid Closeout ,RFN5052-098,A,1.00,EA,,,Body,A,20%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,"0.040"" Aluminum 5052 Sheet(0.5529lb/sqft)",N/A,
Grille trim upper,RFN5052-052,A,1.00,EA,,,Body,A,20%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,"0.040"" Aluminum 5052 Sheet(0.5529lb/sqft)",N/A,
Grille trim lower,RFN5052-051,A,1.00,EA,,,Body,A,20%,,"$64,202",100%,,Local Motors,,,EA,,,,,,,,,,,"0.040"" Aluminum 5052 Sheet(0.5529lb/sqft)",N/A,
Front Upper Grille Mesh,RFN0AIN-032,A,1.00,EA,,,Body,,,,,,,Local Motors,,,,,,,,,,,,,,,,
Rear Valence,RFN0PAS-079,A,1.00,EA,,,Body,,,,,,,Local Motors,,,,,,,,,,,,,,,,
Battery Shield,RFN-5052-007,A,1.00,EA,,,Body,,,,,,,Local Motors,,,,,,,,,,,,,,,,
Body Bond in Plate Kit  (Goes to Romarine),RFN-5052-009,A,1.00,EA,,,Body,,,,,,,Local Motors,,,,,,,,,,,,,,,,
"Laser Cut Steel 3/16"" RF KIT NC",RFN0A36-188-KIT,A,1.00,EA,,,Chassis,A,20%,,"$64,202",100%,,Local Motors,,,,,,,,,,,,,,,,
"Laser Cut Alum .090"" RF KIT NC",RFN5052-090-KIT,A,1.00,EA,,,Chassis,A,20%,,"$64,202",100%,,Local Motors,,,,,,,,,,,,,,,,
"Laser Cut Steel  1/2"" RF KIT Chassis",RFC0A36-500-KIT,A,1.00,EA,,,Chassis,A,20%,,"$64,202",100%,,Local Motors,,,,,,,,,,,,,,,,
"Laser Cut Steel  .070"" RF KIT Chassis",RFC0A36-070-KIT,A,1.00,EA,,,Chassis,A,20%,,"$64,202",100%,,Local Motors,,,,,,,,,,,,,,,,
Misc Aluminum for Production In House,RF-RawAluminum-InHouse,A,1.00,EA,,,Chassis,Local Motors,,,,,,Local Motors,,,,,,,,,,,,,,,,
Headlight Plate Left Hand,RFN-5052-056,A,1.00,EA,,,Body,,,,,,,Local Motors,,,EA,1,,,,,,,,,,,,
Headlight Plate Right Hand,RFN-5052-057,A,1.00,EA,,,Body,,,,,,,Local Motors,,,EA,1,,,,,,,,,,,,
RH Rear Extrusion Cover Plate,Made by Jeremey,A,1.0,EA,,,Body,,,,,,,Local Motors,,,,,,,,,,,,,,,,
LH Rear Extrusion Cover Plate,Made by Jeremey,A,1,EA,,,Body,,,,,,,Local Motors,,,,,,,,,,,,,,,,
"Exterior Body Panel Paint to Matte Black  (7 pieces per car: Nose, 2Bumpers,2 Skirts, 2 side rear side fenders)",Coat-Exterior-Panels,A,1.00,EA,4.0,,Body,,,,,,,Maaco,Exterior Body Panel Paint to Matte Black,Body panel Paint Kit,EA,6,,,,,,,,,,,,
"Bent Edge Washer, 5/16""IDx1-1/2""OD, (side vent mounting)",95990A105,A,4.00,EA,,,Fastener,A,20%,C,"$63,673",99%,,McMaster-Carr,"Zinc-plated Steel Washer With Guide Tab 5/16"" Screw Size, 1-1/2"" Od, .07""-.1"" Thick",95990A105,EA,,,,,,,,,,,,,
"Door Hinge Bushing, 3/8""IDx1/2""ODx1/2"" (Door Hinges)",1677K5,A,16.00,EA,,,Hinge/Latches,A,20%,C,"$63,387",99%,,McMaster-Carr,"Ptfe-lubricated Sae 841 Bronze Flanged Brng For 3/8"" Shaft Dia, 1/2"" Od, 1/2"" Length",1677K5,EA,1,,,,,,,,,,,,
"Flat Socket Head Bolt, 1/4""-20x5/8"", (roof strap mounting)",92210A539,A,30.00,EA,,,Body,A,20%,C,"$63,705",99%,,McMaster-Carr,"18-8 Stainless Steel Flat Head Sckt Cap Screw1/4""-20 Thread, 5/8"" Length",92210A539,EA,50,,,,,,,,,,,,
"Flat Socket Head Bolt, 1/4""-20x3/4"", (window extrusion exterior)",92210A540,A,30.00,EA,,,Body,A,20%,C,"$63,629",99%,,McMaster-Carr,"18-8 Stainless Steel Flat Head Sckt Cap Screw1/4""-20 Thread, 3/4"" Length",92210A540,EA,50,,,,,,,,,,,,
"Flat Socket Head Bolt, 1/4""-20x1"", (roof strap center attachment)",92210A542,A,30.00,EA,,,Body,A,20%,C,"$63,537",99%,,McMaster-Carr,"18-8 Stainless Steel Flat Head Sckt Cap Screw1/4""-20 Thread, 1"" Length",92210A542,EA,50,,,,,,,,,,,,
"Flat Socket Head Bolt, 1/4""-20x1.5"", (roof strap center attachment)",92210A546,A,4.00,EA,,,Body,A,20%,C,"$64,134",100%,,McMaster-Carr,"18-8 Stainless Steel Flat Head Sckt Cap Screw 1/4""-20 Thread, 1-1/2"" Length, packs of 25",92210A546,EA,25,,,,,,,,,,,,
Mesh Materia  (Grille)l ,3702634810,A,2.83,sqft,A,,Body,A,20%,C,"$63,289",99%,Prep,McNichols Phoenix Branch,"Intercrimp Square Mesh Wire Mesh Aluminum, 0.063""wire, 7/16"" Opening size, 76% open area, 0.18 lb/SF",3702634810,EA,,,,,,,,,,,,,
Perforated Aluminum (Valence Material) ,1731145041,A,6.70,sqft,A,,Body,A,20%,C,"$62,159",97%,prep,McNichols Phoenix Branch,"Quality Round Hole perforated Aluminum, 3/16"" hole size, 1/4"" to centers, Staggered pattern, 0.05""Thick, 50% open area, 0.36lbs/SF",1731145041,,,,,,,,,,,,,,
Metallic Silver Paint,DC-HWP101,A,,EA,,,Body,A,20%,C,"$64,178",100%,,"Napa, Mel's Auto",Metallic Silver Paint,DC-HWP101,,,,,,,,,,,,,,
