LM Description,Part#,LM Revision,Qty Per Car,U/M,L/T Wks,Make,System Group,ABC by System,ABC % by System,ABC  by Part,ABC Running $'s by Part,%total $ by part,LM/Prep,Supplier #1,Description Supplier #1,P/N Supp#1,U/M,MOQ #1,Supplier #2,Description Supplier #2,P/N Supp#2,MOQ #2,L/T#2,Supplier #3,Description Supplier #3,P/N Supp#3,MOQ #3,Specifications,Weight (lbs.),X weight
Auxillary 12V Socket  ,A13-14,A,2.00,EA,,http://www.sci.com.tw/PRODUCTS/AUTO%20ACCESSORIES/%28A13%29%20Auto%20Power%20Adapter/%28A13%29%20POWER%20EXTENSION%20ADAPTER/A13-144.htm,Electronics,A,3%,C,"$61,326",96%,,Parts-express.com,Marine Grade Cigarette Lighter Socket 12 VDC ,265-274,EA,10,Pan Taiwan,Auxillary 12V Socket,TBD,10,12.0,,,,,,,
Rearview Mirror with LCD Screen,lab-4305,A,1.00,ea,8.0,,Electronics,A,3%,B,,,,"Shenzhen LUANBAO Electronic Co., Ltd.",Rearview Mirror with LCD Screen,lab-4305,EA,10,,,,,,,,,,,,
Large Ground Strap  (back up to napa ),TAY-148014,A,1.00,EA,,,Electronics,,,,,,,Summit Racing,"Ground Strap, 4-Gauge, 14 in. Long, Braided Tin Coated Copper, Each",,EA,1,,,,,,,,,,,,
Fir Tree Push Mount Tie,T-50RTM,A,10.00,EA,,,Electronics,A,3%,C,"$63,781",99%,,Terminal Supply,Fir Tree Push Mount Tie,T-50RTM,,,,,,,,,,,,,,
Blue 14Gauge terminal female spade w/ heat shrink ,FBB9262,A,6.00,EA,,,Electronics,A,3%,C,"$63,925",100%,,Terminal Supply,Blue 14Gauge terminal female spade w/ heat shrink ,FBB9262,EA,100,,,,,,,,,,,,
Electrical Tape,ST-88,A,0.50,EA,,,Electronics,A,3%,C,"$63,925",100%,,Terminal Supply,"3M EXTRA FLEXIBLE VINYL TAPE 3/4"" X 66' ROLL (SINGLE, 10/BOX OR 100/CASE)",ST-88,,,,,,,,,,,,,,
"1-1/2"" Rubber Grommet",RG-2875,A,6.00,EA,,,Fastener,A,3%,C,"$64,020",100%,,Terminal Supply,RUBBER GROMMET  A-1 1/2 B-1/8 C-1 3/4 D-2 1/8 E-1/2,,,,,,,,,,,,,,,
"Red Heat Shrink 3/4"" ID  ",TSC-221-3/4-RD ,A,0.10,FT,,,Electronics,,,,,,,Terminal Supply,"4' lgth Red Heat Shrink 3/4"" ID  ",,FT,1,,,,,,,,,,,,
Teflon Tape,TT-260,A,0.02,EA,,,Electronics,A,3%,C,"$64,202",100%,,Terminal Supply,"PIPE THREAD TAPE - WHITE TEFLON 1/2"" X 260' ROLL (SINGLE OR 200/CASE)",,,,,,,,,,,,,,,
10 Amp Micro Fuse,MIN-10,A,3.00,EA,,,Electronics,A,3%,C,"$64,202",100%,,Terminal Supply,MINI FUSE 10 AMP RED 32 VOLT FAST ACTING .187 TAB,MIN-10,EA,25,,,,,,,,,,,,
15 Amp Micro Fuse,MIN-15,A,6.00,EA,,,Electronics,A,3%,C,"$64,202",100%,,Terminal Supply,MINI FUSE 15 AMP RED 32 VOLT FAST ACTING .187 TAB,MIN-15,,25,,,,,,,,,,,,
20 Amp Micro Fuse,MIN-20,A,4.00,EA,,,Electronics,A,3%,C,"$64,202",100%,,Terminal Supply,MINI FUSE 20 AMP RED 32 VOLT FAST ACTING .187 TAB,MIN-20,,25,,,,,,,,,,,,
25 Amp Micro Fuse,MIN-25,A,3.00,EA,,,Electronics,A,3%,C,"$64,202",100%,,Terminal Supply,MINI FUSE 25 AMP RED 32 VOLT FAST ACTING .187 TAB,MIN-25,,25,,,,,,,,,,,,
30 Amp Micro Fuse,MIN-30,A,4.00,EA,,,Electronics,A,3%,C,"$64,202",100%,,Terminal Supply,MINI FUSE 30 AMP RED 32 VOLT FAST ACTING .187 TAB,MIN-30,,25,,,,,,,,,,,,
"5/16"" ID Rubber Grommet   (Trunk Lid Drain)  PULL OFF SHELF)",RG-2538,A,2.00,EA,,,Electronics,A,3%,B,"$60,683",95%,,Terminal Supply,RUBBER GROMMET A-5/16 B-3/32 C-7/16 D-5/8 E-5/16,,,,,,,,,,,,,,,
non-insulated ring terminal 6 gauge ¼ stud,E-360-14,A,3.00,EA,,,Electronics,A,3%,C,"$64,168",100%,,Terminal Supply,,,,,,,,,,,,,,,,
Thermal Flasher (two terminal flasher),552,A,2.00,EA,,,Electronics,A,3%,C,"$63,855",99%,,Terminal Supply,Thermal Flasher,552,EA,1,,,,,,,,,,,,
Solder  (TO THICK )   ,TS60/40RC-093-1,01,0.10,EA,,,Electronics,A,3%,C,"$64,052",100%,,Terminal Supply,ELECTRICAL SOLDER 60/40 ROSIN CORE .093 DIAMETER 1LB ROLL,,,,,,,,,,,,,,,
"Amber Pilot Light, (MIL light, and Defrost activation light)",LI-AMBER,01,2.00,EA,,,Electronics,A,3%,C,"$63,998",100%,,Terminal Supply,ILLUMINATED PILOT LIGHT  AMBER 16 AMP 12 VOLT 2 WIRE LEADS,,,,,,,,,,,,,,,
"1/8"" Black Heat Shrink",,A,0.00,FT,,,Electronics,,,,,,,Terminal Supply,,,,,,,,,,,,,,,,
"3/16"" Black Heat Shrink",CPA-100-3/16-4',A,0.00,FT,2.0,,Electronics,A,3%,C,"$64,109",100%,,Terminal Supply,Black Thin Wall Adhesive Lined,,,,,,,,,,,,,,,
"3/8"" Black Heat Shrink",CPA-100-3/8-4',A,0.00,FT,2.0,,Electronics,A,3%,C,"$64,034",100%,,Terminal Supply,Black Thin Wall Adhesive Lined,,,,,,,,,,,,,,,
"1/2"" Black Heat Shrink",CPA-100-1/2-4',A,0.00,FT,2.0,,Electronics,A,3%,C,"$64,004",100%,,Terminal Supply,Black Thin Wall Adhesive Lined,,,,,,,,,,,,,,,
"1"" Black Heat Shrink",CPA-100-1-4',A,0.00,FT,2.0,,Electronics,A,3%,C,"$64,143",100%,,Terminal Supply,Black Thin Wall Adhesive Lined,,,,,,,,,,,,,,,
"3/8"" HD Red Heat Shrink",TSC-700-18R-4',A,0.00,FT,2.0,,Electronics,A,3%,C,"$64,200",100%,,Terminal Supply,Red Shrink Tuing - Dual Wall,,,,,,,,,,,,,,,
"1/2"" HD Red Heat Shrink",TSC-700-20R-4',A,0.00,FT,2.0,,Electronics,A,3%,C,"$64,199",100%,,Terminal Supply,Red Shrink Tuing - Dual Wall,,,,,,,,,,,,,,,
"Wire Loom: 0.25"" ",PLS-1/4-100-BLK,A,0.00,FT,,,Electronics,A,3%,C,"$64,104",100%,,Terminal Supply,"CONVOLUTED SPLIT LOOM 100' COIL 1/4"" BLACK NYLON",PLS-1/4-100-BLK,FT,100,,,,,,,,,,,,
"Wire Loom: 0.375"" ",PLS-3/8-100-BLK,A,0.00,FT,,,Electronics,A,3%,C,"$64,069",100%,,Terminal Supply,"CONVOLUTED SPLIT LOOM  100' COIL 3/8"" BLACK NYLON",PLS-3/8-100-BLK,,100,,,,,,,,,,,,
"Wire Loom: 0.50"" ",PLS-1/2-100-BLK,A,0.00,FT,,,Electronics,A,3%,C,"$63,900",100%,,Terminal Supply,"CONVOLUTED SPLIT LOOM  100' COIL 1/2"" BLACK NYLON",PLS-1/2-100-BLK,,100,,,,,,,,,,,,
"Wire Loom: 0.75"" ",PLS-3/4-100-BLK,A,0.00,FT,,,Electronics,A,3%,C,"$64,135",100%,,Terminal Supply,"CONVOLUTED SPLIT LOOM  100' COIL 3/4"" BLACK NYLON",PLS-3/4-100-BLK,,100,,,,,,,,,,,,
"Wire Loom: 1.00"" ",PLS-1-100-BLK,A,0.00,FT,,,Electronics,A,3%,C,"$64,061",100%,,Terminal Supply,"CONVOLUTED SPLIT LOOM  100' COIL 1"" BLACK NYLON",PLS-1-100-BLK,,100,,,,,,,,,,,,
"1/4"" Rubber Cushion Clamp",RCC-1414-100,A,14.00,EA,,,Electronics,A,3%,C,"$62,997",98%,,Terminal Supply,"RUBBER CUSHION CLAMP DIA-1/4"" WIDTH-1/2"" HOLE SIZE-1/4""",,,100,,,,,,,,,,,,
"1/2"" Rubber Cushion Clamp",RCC-1214-50,A,4.00,EA,,,Electronics,A,3%,C,"$63,888",100%,,Terminal Supply,"RUBBER CUSHION CLAMP DIA-1/2"" WIDTH-1/2"" HOLE SIZE-1/4""",,,,,,,,,,,,,,,
"3/8""  Rubber Cushion Clamp",RCC-3814-50,A,4.00,EA,,,Electronics,A,3%,C,"$63,858",99%,,Terminal Supply,"RUBBER CUSHION CLAMP  DIA-3/8"" WIDTH-1/2"" HOLE SIZE-1/4""",,,,,,,,,,,,,,,
"5/8""  Rubber Cushion Clamp",RCC-5814-50,A,4.00,EA,,,Electronics,A,3%,C,"$63,876",99%,,Terminal Supply,"RUBBER CUSHION CLAMP  DIA-5/8"" WIDTH-1/2"" HOLE SIZE-1/4""",,,,,,,,,,,,,,,
"3/4""  Rubber Cushion Clamp",RCC-3414-50,A,4.00,EA,,,Electronics,A,3%,C,"$63,727",99%,,Terminal Supply,Rubber Cushion Clamp,,,,,,,,,,,,,,,
"1-1/4"" Rubber Cushion Clamp",RCC-11414-25,A,1.00,EA,,,Electronics,A,3%,C,"$64,156",100%,,Terminal Supply,"RUBBER CUSHION CLAMP DIA-1-1/4"" WIDTH-1/2"" HOLE SIZE-1/4""",,,,,,,,,,,,,,,
Single Screw Cable Tie Mount,CTM-3-BLK,A,7.00,EA,,,Electronics,A,3%,C,"$63,989",100%,,Terminal Supply,"SINGLE SCREW CABLE TIE MOUNT  #10 SCREW, MOUNTS T18 THRU T120, BLACK",,,,,,,,,,,,,,,
Fir Tree Cable Tie Mount,FT-6,A,8.00,EA,,,Electronics,A,3%,C,"$64,140",100%,,Terminal Supply,Fir Tree Mount,,,,,,,,,,,,,,,
Red 22-18Guage Terminal Male Spade w/ heat shrink,MCT-A-850,A,0.00,EA,,,Electronics,,,,,,,Terminal Supply ,Red 22-18Guage Terminal Male Spade w/ heat shrink,MCT-A-850  .250 dia,EA,,,,,,,,,,,,,
"LH Window Regulator, C5 Corvette",10344131,A,1.00,EA,4.0,GM,Electronics,A,3%,A,"$49,062",76%,prep,Thorobred,"Regulator, FRT S/D WDO (W/Motor)",10344131,EA,1,,,,,,,,,,,4.70,
"RH Window Regulator, C5 Corvette",15781690,A,1.00,EA,4.0,GM,Electronics,A,3%,A,"$50,154",78%,prep,Thorobred,"Regulator, FRT S/D WDO (W/Motor)",15781690,EA,1,,,,,,,,,,,4.10,
"3rd Brake Light LED, CHMSL",39774B,A,1.00,EA,,,Electronics,,,C,,,Prep,United Pacific,"19 LED Auxiliary Strip Light (12"" x 5/8""Wx 5/8"" H) (Red) ",39774B,,10,,,,,,,,,,,,
"Wire Loom: 0.125""",LCP125-500,A,0.00,FT,,,Electronics,,,,,,,Waytek Inc,.125 Loom,LCP125-500,FT,,,,,,,,,,,,,
"6.5"" Door Speakers",XSMP1610B,A,1.00,Pair,,Sony,Electronics,A,3%,B,"$56,153",87%,,www.dealercostcaraudio.com,,,EA,,Sonystyle.com,,,,,,,,,,,
"1"" Wide Black Gaff Tape 60yd roll (Wire Harness Assy)","1"" Gaff Tape",A,0.00,roll,,,Electronics,A,3%,C,"$64,170",100%,,www.findtape.com,Pro Gaff / Tape Brothers Gaffers Tape 1 and 2 inch widths x 60 yards,,,6,Amazon.com,,,,,,,,,,,
Radio Std 1 Din,,01,1.00,EA,,,Electronics,,,,,,,,,,,,,,,,,,,,,,,
Auto Insutrument Cluster,ZB152 (22),A,1.00,EA,,,Electronics,,,,,,,,Auto Insutrument Cluster,ZB152 (22),EA,150,,,,,,,,,,,,
"Auto meter Connecotr A  (Goes into Harness, Dave has found connector for future)",DAVE HAS,A,1.00,EA,,,Electronics,,,,,,,,"Auto meter Connecotr A  (Goes into Harness, Dave has found connector for future)",,EA,175,,,,,,,,,,,,
"Auto meter Connecotr B  (Goes into Harness, Dave has found connector for future)",DAVE HAS,A,1.00,EA,,,Electronics,,,,,,,,"Auto meter Connecotr B  (Goes into Harness, Dave has found connector for future)",,EA,175,,,,,,,,,,,,
Auto Meter  Pins,DAVE HAS,A,14.00,EA,,,Electronics,,,,,,,,Auto Meter  Pins,,EA,5000,,,,,,,,,,,,
280 Series 18GA Male Terminal,12048159,A,8,EA,,,Electronics,,,,,,,,280 Series 18GA Male Terminal,12048159,EA,,,,,,,,,,,,,
280 Series 18-14GA Female Terminal,12077411,A,3,EA,,,Electronics,,,,,,,,280 Series 18-14GA Female Terminal,12077411,EA,,,,,,,,,,,,,
280 Series 12GA Female Terminal,12077413,A,2,EA,,,Electronics,,,,,,,,280 Series 12GA Female Terminal,12077413,EA,,,,,,,,,,,,,
280 Series 5 pin Male TPA,12084673,A,2,EA,,,Electronics,,,,,,,,280 Series 5 pin Male TPA,12084673,,,,,,,,,,,,,,
280 Series 5-pin Light Gray Female Connector,12084891,A,1,EA,,,Electronics,,,,,,,,280 Series 5-pin Light Gray Female Connector,12084891,,,,,,,,,,,,,,
280 Series 14GA Male Terminal,12129497,A,2,EA,,,Electronics,,,,,,,,280 Series 14GA Male Terminal,12129497,,,,,,,,,,,,,,
280 Series 5-pin Male Connector,12186400,A,2,EA,,,Electronics,,,,,,,,280 Series 5-pin Male Connector,12186400,,,,,,,,,,,,,,
280 Series 5-pin Black Female Connector TPA,15324857,A,1,EA,,,Electronics,,,,,,,,280 Series 5-pin Black Female Connector TPA,15324857,,,,,,,,,,,,,,
Gray 280 Series 14-16GA Seal,15324980,A,4,EA,,,Electronics,,,,,,,,Gray 280 Series 14-16GA Seal,15324980,,,,,,,,,,,,,,
Green 280 Series 16-18GA Seal,15324982,A,11,EA,,,Electronics,,,,,,,,Green 280 Series 16-18GA Seal,15324982,,,,,,,,,,,,,,
Pin Terminal 14 GA Loose Piece 33000-1001,330001001,A,2,EA,,,Electronics,,,,,,,,Pin Terminal 14 GA Loose Piece 33000-1001,330001001,,,,,,,,,,,,,,
Pin Terminal 20-16GA Loose Piece 33000-1002,330001002,A,14,EA,,,Electronics,,,,,,,,Pin Terminal 20-16GA Loose Piece 33000-1002,330001002,,,,,,,,,,,,,,
Socket Terminal 20-18GA Loose Piece 33012-3002,330123002,A,6,EA,,,Electronics,,,,,,,,Socket Terminal 20-18GA Loose Piece 33012-3002,330123002,,,,,,,,,,,,,,
3 Circuit Single Row MX150 Male Connector 33481-0301,334810301,A,3,EA,,,Electronics,,,,,,,,3 Circuit Single Row MX150 Male Connector 33481-0301,334810301,,,,,,,,,,,,,,
8 Circuit Dual Row MX150 Male Connector 33482-0801,334820801,A,1,EA,,,Electronics,,,,,,,,8 Circuit Dual Row MX150 Male Connector 33482-0801,334820801,,,,,,,,,,,,,,
Cavity Plug MX150 34345-0001,343450001,A,1,EA,,,Electronics,,,,,,,,Cavity Plug MX150 34345-0001,343450001,,,,,,,,,,,,,,
18GA Female Terminal,7116-4021,A,8,EA,,,Electronics,,,,,,,,18GA Female Terminal,7116-4021,,,,,,,,,,,,,,
2-Pos Off-white Connector,7283-1027,A,2,EA,,,Electronics,,,,,,,,2-Pos Off-white Connector,7283-1027,,,,,,,,,,,,,,
Chamfered 2-Pos Off-white Connector,7283-8123,A,2,EA,,,Electronics,,,,,,,,Chamfered 2-Pos Off-white Connector,7283-8123,,,,,,,,,,,,,,
"1/2"" Black Nylon Convoluted Split Loom 100' Coil",PLS-1/2-100-BLK,A,20,inches,,,Electronics,,,,,,,,"1/2"" Black Nylon Convoluted Split Loom 100' Coil",PLS-1/2-100-BLK,,,,,,,,,,,,,,
"1/8"" Black Nylon Convoluted Split Loom 100' Coil",PLS-1/8-100-BLK,A,20,inches,,,Electronics,,,,,,,,"1/8"" Black Nylon Convoluted Split Loom 100' Coil",PLS-1/8-100-BLK,,,,,,,,,,,,,,
"3/8"" Black Nylon Convoluted Split Loom 100' Coil",PLS-3/8-100-BLK,A,26,inches,,,Electronics,,,,,,,,"3/8"" Black Nylon Convoluted Split Loom 100' Coil",PLS-3/8-100-BLK,,,,,,,,,,,,,,
Red Female Spade,SAA-9261,A,3,EA,,,Electronics,,,,,,,,Red Female Spade,SAA-9261,,,,,,,,,,,,,,
Blue Male Spade,SBB-9262,A,3,EA,,,Electronics,,,,,,,,Blue Male Spade,SBB-9262,,,,,,,,,,,,,,
18GA TXL XLP Black Insulated Copper Strand Wire,TXL18-0,A,124,inches,,,Electronics,,,,,,,,18GA TXL XLP Black Insulated Copper Strand Wire,TXL18-0,,,,,,,,,,,,,,
18GA TXL XLP Yellow Insulated Copper Strand Wire,TXL18-4,A,3,inches,,,Electronics,,,,,,,,18GA TXL XLP Yellow Insulated Copper Strand Wire,TXL18-4,,,,,,,,,,,,,,
18GA TXL XLP Orange Insulated Copper Strand Wire,TXL18-5,A,10,inches,,,Electronics,,,,,,,,18GA TXL XLP Orange Insulated Copper Strand Wire,TXL18-5,,,,,,,,,,,,,,
18GA TXL XLP Brown Insulated Copper Strand Wire,TXL18-6,A,18,inches,,,Electronics,,,,,,,,18GA TXL XLP Brown Insulated Copper Strand Wire,TXL18-6,,,,,,,,,,,,,,
18GA TXL XLP Dk Blue/Yellow Insulated Copper Strand Wire,TXL18-V+Yellow,A,28,inches,,,Electronics,,,,,,,,18GA TXL XLP Dk Blue/Yellow Insulated Copper Strand Wire,TXL18-V+Yellow,,,,,,,,,,,,,,
18GA TXL XLP Dk Green Insulated Copper Strand Wire,TXL18-X,A,3,inches,,,Electronics,,,,,,,,18GA TXL XLP Dk Green Insulated Copper Strand Wire,TXL18-X,,,,,,,,,,,,,,
Trunk Harness (Separate part list),RF-TrunkHarn,A,1.00,EA,,,Electronics,,,,,,prep,Finish Line Custom Wiring & Fabrication (Smitty),Trunk Harness,RF-TrunkHarn,EA,,,,,,,,,,,,,
"Raw Intake Tube 4"" Wide x Length 17""","AL4X24 (24' LENGTH CUT TO 17"")",A,1.00,EA,,,Engine,,,,,,,Intakehoses.com,,,EA,,,,,,,,,,,,,
Spectre 9775 - Spectre Air Intake Couplers/Reducers,865-9775,A,1.00,EA,,Jegs,Engine,,,,,,,Jegs,Spectre 9775 - Spectre Air Intake Couplers/Reducers,865-9775,EA,,http://spectreperformance.com,,,,,,,,,,,
Air Box,RFN-5052-004,A,1.00,EA,,,Engine,,,,,,,Local Motors ,,,,,,,,,,,,,,,,
Air Box Lid,RFN-5052-005,A,1.00,EA,,,Engine,,,,,,,Local Motors ,,,,,,,,,,,,,,,,
Intake Tube Complete,RFN-6061-024,A,1.00,EA,,,Engine,,,,,,,Local Motors ,,,,1,,,,,,,,,,,,
"Phillips Screw, M4-0.7x12mm, (mass air mounting)",92005A222,A,2.00,EA,,,Engine,A,15%,C,"$64,202",100%,,McMaster-Carr,"Metric Pan Head Phillips Machine Screw Zinc-Plated STL, M4 Size, 12mm Length, .7mm Pitch, packs of 100",92005A222,EA,100,,,,,,,,,,,,
"45deg 1/8 NPTF Male to Female Brass Fitting, (oil pressure sender adapter) ",50785K81,A,1.00,EA,,,Engine,A,15%,C,"$64,045",100%,,McMaster-Carr,"Med-Pressure Brass Thrd Pipe Fitting 1/8"" Pipe Size, Male X Female 45 Deg Elbow",50785K81,EA,1,,,,,,,,,,,,
"Fluid, 5W-30 Motor Oil",12345885,A,6.00,Qt,4.0,GM,Engine,A,15%,B,"$59,533",93%,,"Napa, Mel's Auto",Fluid,,,,,,,,,,,,,,,
LS3 Erod Engine System,19257230,A,1.00,EA,4.0,GM,Engine,A,15%,A,"$7,969",12%,,Thorobred,LS3 Erod Engine/ KIT,19257230,,,,,,,,,,,,,,
Programming LS3,Program-LS3,A,1.00,EA,0.0,GM,Engine,,,B,,,,Thorobred,Program-LS3,Program-LS3,,,,,,,,,,,,,,
CTS-V Accessory Drive System w/A/C,19155066,A,1.00,EA,4.0,GM,Engine,,,,,,,Thorobred,CTS-V Accessory Drive System w/A/C,19155066,EA,1,,,,,,,,,,,,
"Bolt, M10x1.5x40mm, 15mm-drive, 37ft-lb,(Main Tensioner, and A/C Bracket)",11515768,A,6.00,EA,4.0,GM,Engine,A,15%,C,"$63,836",99%,,Thorobred,Bolt,11515768,EA,,,,,,,,,,,,,
A/C Belt Tensioner,12595289,A,1.00,EA,4.0,GM,Engine,A,15%,B,"$55,866",87%,,Thorobred,Tensioner,12595289,EA,,,,,,,,,,,,,
Power Steering Pump Bracket,12578551,A,1.00,EA,4.0,GM,Engine,A,15%,C,"$61,303",95%,,Thorobred,Bracket,12578551,EA,,,,,,,,,,,,,
"Bolt, M10x1.5x75mm, 15mm-drive, 37ft-lb, (power steering bracket to motor)",11518633,A,3.00,EA,4.0,GM,Engine,A,15%,C,"$63,297",99%,,Thorobred,Bolt,11518633,EA,,,,,,,,,,,,,
Generator Bracket,12578550,A,1.00,EA,4.0,GM,Engine,A,15%,C,"$60,813",95%,,Thorobred,Bracket,12578550,EA,,,,,,,,,,,,,
"Bolt, M10x1.5x95.5mm, 15mm-drive, 37ft-lb, (generator and generator bracket to motor)",11518637,A,3.00,EA,4.0,GM,Engine,A,15%,C,"$63,191",98%,,Thorobred,Bolt,11518637,EA,,,,,,,,,,,,,
Generator,25766345,A,1.00,EA,4.0,GM,Engine,A,15%,A,"$45,451",71%,,Thorobred,Generator,25766345,EA,,,,,,,,,,,,,
"Bolt, M10x1.5x60.5mm, 15mm-drive, 37ft-lb, (generator and generator bracket to motor)",11518630,A,2.00,EA,4.0,GM,Engine,A,15%,C,"$63,543",99%,,Thorobred,Bolt,11518630,EA,,,,,,,,,,,,,
Primary Belt Idler Pulley,12568996,A,1.00,EA,4.0,GM,Engine,A,15%,B,"$59,611",93%,,Thorobred,Pulley-belt idler,12568996,EA,,,,,,,,,,,,1.1,
Primary Belt Tensioner,12569301,A,1.00,EA,4.0,GM,Engine,A,15%,B,"$56,356",88%,,Thorobred,Tensioner,12569301,EA,,,,,,,,,,,,1.55,
Primary Belt,12578553,A,1.00,EA,4.0,GM,Engine,A,15%,C,"$62,602",98%,,Thorobred,Belt,12578553,EA,,,,,,,,,,,,,
A/C Mounting Bracket,12578548,A,1.00,EA,4.0,GM,Engine,A,15%,C,"$62,602",98%,,Thorobred,Bracket,12578548,EA,,,,,,,,,,,,,
Bolt M8x1.25x40,11515760,A,2.00,EA,4.0,GM,Engine,A,15%,C,"$62,602",98%,,Thorobred,Bolt M8x1.25x40,11515760,EA,,,,,,,,,,,,,
Accessory Instruction Sheet,19202978,A,1.00,EA,4.0,GM,Engine,A,15%,C,"$62,602",98%,,Thorobred,Accessory Instruction Sheet,19202978,EA,,,,,,,,,,,,,
"Not Used, Decal",312015,A,1.00,EA,4.0,GM,Engine,A,15%,C,"$62,602",98%,,Thorobred,"Not Used, Decal",312015,EA,,,,,,,,,,,,,
"Not Used, GM Off-road Decal",312014,A,1.00,EA,4.0,GM,Engine,A,15%,C,"$62,602",98%,,Thorobred,"Not Used, GM Off-road Decal",312014,EA,,,,,,,,,,,,,
"Nut, (motor flex mount top and bottom)",11516078,A,4.00,EA,4.0,GM,Engine,A,15%,C,"$62,917",98%,,Thorobred,Nuts,11516078,EA,,,,,,,,,,,,0.0463,
Starter,12617229,A,1.00,EA,4.0,GM,Engine,A,15%,A,"$50,727",79%,,Thorobred,Starter,12617229,EA,,,,,,,,,,,,6.65,
"Bolt, (starter to motor)",11610787,A,2.00,EA,4.0,GM,Engine,A,15%,C,"$63,582",99%,,Thorobred,Starter Bolts,11610787,EA,,,,,,,,,,,,0.1907,
"Nut, (starter main power wire attachment)",21021808,A,1.00,EA,4.0,GM,Engine,A,15%,C,"$64,182",100%,,Thorobred,Nut,21021808,EA,,,,,,,,,,,,,
Starter Heat Shield,12629286,A,1.00,EA,4.0,GM,Engine,A,15%,C,"$62,986",98%,,Thorobred,Heat Shiled,12629286,EA,,,,,,,,,,,,0.55,
"Bolt, (starter heat shield)",11571131,A,3.00,EA,4.0,GM,Engine,A,15%,C,"$63,408",99%,,Thorobred,Bolts,11571131,EA,,,,,,,,,,,,0.01984,
"Nut, (alternator main power attachment)",11516075,A,1.00,EA,4.0,GM,Engine,A,15%,C,"$64,186",100%,,Thorobred,Nut-Metric,11516075,EA,,,,,,,,,,,,,
Motor Mount Isolator,EM-2993,A,2.00,EA,,Westar,Engine,,,,,,Prep,Westar,Motor Mount Isolator,EM-2993,EA,100,Amazon ,Motor Mount Isolator,EM-2993,,,,,,,,,
Accelerator Pedal,10379038,A,1.00,EA,4.0,GM,Engine,A,15%,A,"$64,202",100%,,,Accelerator Pedal,10379038,,,,,,,,,,,,,1.9,
Mass Air Sensor,15865791,A,1.00,EA,4.0,GM,Engine,A,15%,A,"$64,202",100%,,,Sensor,15865791,,,,,,,,,,,,,42 g,
"O2 Sensor, Rear",12611165,A,2.00,EA,4.0,GM,Engine,A,15%,A,"$64,202",100%,,,"O2 Sensors, Rear",12611165,,,,,,,,,,,,,86g,
"O2 Sensor, Front",12581966,A,2.00,EA,4.0,GM,Engine,A,15%,A,"$64,202",100%,,,"O2 Sensor, Denso",12581966,,,,,,,,,,,,,89g,
Mass Air Meter Mounting Boss,19166574,A,1.00,EA,4.0,GM,Engine,A,15%,A,"$64,202",100%,,,Mass Air Meter Mounting Boss,19166574,,,,,,,,,,,,,36g,
Cam Sensor Jumper Harness,19256607,A,1.00,EA,4.0,GM,Engine,A,15%,A,"$64,202",100%,,,"Harness, Jumper",19256607,,,,,,,,,,,,,23g,
MAP Sensor Jumper Harness,19202598,A,1.00,EA,4.0,GM,Engine,A,15%,A,"$64,202",100%,,,Harness,19202598,,,,,,,,,,,,,,
"Not Used, Instruction Sheets, LS3",19257246,A,1.00,EA,4.0,GM,Engine,A,15%,A,"$64,202",100%,,,Instruction Sheets,19257246,,,,,,,,,,,,,,
"ECU, Module for LS3 with Auto Trans",19244809,A,1.00,EA,4.0,GM,Engine,A,15%,A,"$64,202",100%,,,Module,19244809,,,,,,,,,,,,,800g,
Motor Wiring Harness,19244808,A,1.00,EA,4.0,GM,Engine,A,15%,A,"$64,202",100%,,,Harness Kit,19244808,,,,,,,,,,,,,8.35,
"LH Catalytic Converter, Camaro",92225677,A,1.00,EA,4.0,GM,Engine,A,15%,A,"$64,202",100%,,,Catalytic converter,92225677,,,,,,,,,,,,,12.65,
"RH Catalytic Converter, Camaro",92225676,A,1.00,EA,4.0,GM,Engine,A,15%,A,"$64,202",100%,,,Catalytic converter,92225676,,,,,,,,,,,,,11.3,
Emissions Canister,17113332,A,1.00,EA,4.0,GM,Engine,A,15%,A,"$64,202",100%,,,Emission Canister,17113332,,,,,,,,,,,,,,
Air Filter,19202661,A,1.00,EA,4.0,GM,Engine,A,15%,A,"$64,202",100%,,,Air Filter,19202661,,,,,,,,,,,,,0.85,
"O2 Sensor Mounting Boss, (weld into Cat Pipes)",15156588,A,4.00,EA,4.0,GM,Engine,A,15%,A,"$64,202",100%,,,O2 Sensor Mounting Boss,15156588,,,,,,,,,,,,,38g,
Air Body Saw,CP7901,A,,EA,,,Facilities,C,0%,,"$64,202",100%,,Amazon.com,Chicago Pneumatic CP7901 Super Duty Reciprocating Air Saw,,,,,,,,,,,,,,,
6x2 Hi Temp Swivel Caster,P2170,A,,EA,,,Facilities,,,,,,,Arizona Casters,6x2 Hi Temp Swivel Caster,,,,,,,,,,,,,,,
6x2 Hi Temp Fixed Caster,P2171,A,,EA,,,Facilities,,,,,,,Arizona Casters,6x2 Hi Temp Fixed Caster,,,,,,,,,,,,,,,
5x2 Phenolic Fixed Caster,P9041,A,,EA,,,Facilities,,,,,,,Arizona Casters,5x2 Phenolic Fixed Caster,,,,,,,,,,,,,,,
5x2 Phenolic Fixed Caster,P9040,A,,EA,,,Facilities,,,,,,,Arizona Casters,5x2 Phenolic Fixed Caster,,,,,,,,,,,,,,,
